raw_name,taxon_name,level_1,indicator
Abies,abies,Abies,FALSE
Abies alba,abies_alba,Abies,FALSE
Abies undiff.,abies_undiff,Abies,FALSE
Acacia,acacia,Acacia,FALSE
Acanthus,acanthus,Acanthus,FALSE
Acer,acer,Acer campestre-type,FALSE
Acer campestre,acer_campestre,Acer campestre-type,FALSE
Acer campestre-type,acer_campestre_type,Acer campestre-type,FALSE
Acer negundo,acer_negundo,Acer negundo,FALSE
Acer platanoides,acer_platanoides,Acer campestre-type,FALSE
Acer undiff.,acer_undiff,Acer campestre-type,FALSE
Achillea,achillea,Matricaria-type,FALSE
Achillea-type,achillea_type,Matricaria-type,FALSE
Achillea erba-rotta subsp. moschata,achillea_erba_minus_rotta_subsp_moschata,Matricaria-type,FALSE
Aconitum,aconitum,Aconitum,FALSE
Aconitum-type,aconitum_type,Aconitum,FALSE
Aconitum (excluding A. napellus),aconitum_excluding_a_napellus,Aconitum,FALSE
Aconitum lycoctonum subsp. septentrionale,aconitum_lycoctonum_subsp_septentrionale,Aconitum,FALSE
Aconitum napellus-type,aconitum_napellus_type,Aconitum,FALSE
Actaea spicata,actaea_spicata,Actaea,FALSE
Adenostyles,adenostyles,Senecio-type,FALSE
Adenostyles alliariae,adenostyles_alliariae,Senecio-type,FALSE
Adonis,adonis,Adonis,FALSE
Adonis-type,adonis_type,Adonis,FALSE
Adonis aestivalis,adonis_aestivalis,Adonis aestivalis-type,FALSE
Adonis aestivalis-type,adonis_aestivalis_type,Adonis aestivalis-type,FALSE
Adoxa,adoxa,Adoxa moschatellina,FALSE
Adoxa moschatellina,adoxa_moschatellina,Adoxa moschatellina,FALSE
Aesculus,aesculus,Aesculus,FALSE
Aesculus hippocastanum,aesculus_hippocastanum,Aesculus hippocastanum,FALSE
Aethusa cynapium,aethusa_cynapium,Aethusa cynapium,FALSE
Aethusa cynapium-type,aethusa_cynapium_type,Aethusa cynapium,FALSE
Agrimonia,agrimonia,Agrimonia/Aremonia,FALSE
Agrimonia-type,agrimonia_type,Agrimonia/Aremonia,FALSE
Agrimonia eupatoria-type,agrimonia_eupatoria_type,Agrimonia/Aremonia,FALSE
Agropyron-type,agropyron_type,Hordeum-type,FALSE
Agrostemma,agrostemma,Agrostemma githago,FALSE
Agrostemma-type,agrostemma_type,Agrostemma githago,FALSE
Agrostemma githago,agrostemma_githago,Agrostemma githago,FALSE
Ailanthus,ailanthus,Apiaceae,FALSE
Alchemilla,alchemilla,Alchemilla,FALSE
Alchemilla-type,alchemilla_type,Alchemilla/Aphanes,FALSE
Alchemilla cf. A. glabra,alchemilla_cf_a_glabra,Alchemilla,FALSE
Alchemilla pentaphyllea,alchemilla_pentaphyllea,Alchemilla,FALSE
Alchemilla/Aphanes,alchemilla_aphanes,Alchemilla/Aphanes,FALSE
Alkanna,alkanna,Alkanna-type,FALSE
Allium,allium,Allium-type,FALSE
Allium-type,allium_type,Allium-type,FALSE
Allium ursinum-type,allium_ursinum_type,Allium ursinum-type,FALSE
Allium vineale-type,allium_vineale_type,Allium vineale-type,FALSE
Alnus,alnus,Alnus glutinosa-type,FALSE
Alnus (excluding A. viridis),alnus_excluding_a_viridis,Alnus glutinosa-type,FALSE
"Alnus (shrub, pale shallow pores)",alnus_shrub_pale_shallow_pores,Alnus glutinosa-type,FALSE
"Alnus (tree, robust deep pores)",alnus_tree_robust_deep_pores,Alnus glutinosa-type,FALSE
Alnus glutinosa,alnus_glutinosa,Alnus glutinosa-type,FALSE
Alnus glutinosa-type,alnus_glutinosa_type,Alnus glutinosa-type,FALSE
Alnus glutinosa/A. incana,alnus_glutinosa_a_incana,Alnus glutinosa-type,FALSE
Alnus incana,alnus_incana,Alnus glutinosa-type,FALSE
Alnus incana-type,alnus_incana_type,Alnus glutinosa-type,FALSE
Alnus subg. Alnobetula,alnus_subg_alnobetula,Alnus viridis,FALSE
Alnus undiff.,alnus_undiff,Alnus,FALSE
Alnus viridis,alnus_viridis,Alnus viridis,FALSE
Alnus viridis-type,alnus_viridis_type,Alnus viridis,FALSE
Alnus viridis subsp. fruticosa,alnus_viridis_subsp_fruticosa,Alnus viridis,FALSE
Amaranthaceae,amaranthaceae,Chenopodiaceae/Amaranthaceae,FALSE
Amaranthaceae-type,amaranthaceae_type,Chenopodiaceae/Amaranthaceae,FALSE
Amaranthus,amaranthus,Chenopodiaceae/Amaranthaceae,FALSE
Ambrosia,ambrosia,Ambrosia,FALSE
Ambrosia-type,ambrosia_type,Ambrosia/Xanthium,FALSE
Ammi,ammi,Apiaceae,FALSE
Ammi-type,ammi_type,Apiaceae,FALSE
Amygdaloideae,amygdaloideae,Amygdaloideae,FALSE
Anagallis,anagallis,Anagallis,FALSE
Anagallis-type,anagallis_type,Anagallis-type,FALSE
Anagallis arvensis,anagallis_arvensis,Anagallis arvensis-type,FALSE
Anagallis cf. A. arvensis,anagallis_cf_a_arvensis,Anagallis arvensis-type,FALSE
Anagallis cf. A. tenella,anagallis_cf_a_tenella,Anagallis tenella-type,FALSE
Anagallis tenella,anagallis_tenella,Anagallis tenella-type,FALSE
Anarrhinum,anarrhinum,Anarrhinum bellidifolium,FALSE
Anchusa,anchusa,Anchusa arvensis-type,FALSE
Anchusa-type,anchusa_type,Anchusa/Pulmonaria,FALSE
Andromeda,andromeda,Andromeda polifolia,FALSE
Andromeda polifolia,andromeda_polifolia,Andromeda polifolia,FALSE
Androsace,androsace,Androsace,FALSE
Androsace-type,androsace_type,Androsace,FALSE
Androsace alpina-type,androsace_alpina_type,Androsace elongata-type,FALSE
Androsace elongata-type,androsace_elongata_type,Androsace elongata-type,FALSE
Anemone,anemone,Anemone nemorosa-type,FALSE
Anemone-type,anemone_type,Anemone nemorosa-type,FALSE
Anemone alpina,anemone_alpina,Pulsatilla,FALSE
Anemone hortensis-type,anemone_hortensis_type,Anemone nemorosa-type,FALSE
Anemone nemorosa,anemone_nemorosa,Anemone nemorosa-type,FALSE
Anemone nemorosa-type,anemone_nemorosa_type,Anemone nemorosa-type,FALSE
Anemone nemorosa group,anemone_nemorosa_group,Anemone nemorosa-type,FALSE
Anemone sect. Hepatica,anemone_sect_hepatica,Hepatica,FALSE
Anemone sect. Pulsatilla,anemone_sect_pulsatilla,Pulsatilla,FALSE
Anemone sect. Pulsatilla-type,anemone_sect_pulsatilla_type,Pulsatilla,FALSE
Anemone subg. Anemone,anemone_subg_anemone,Ranunculus-type,FALSE
Anethum-type,anethum_type,Falcaria-type,FALSE
Angelica-type,angelica_type,Apiaceae,FALSE
Angelica archangelica-type,angelica_archangelica_type,Angelica archangelica,FALSE
Angelica palustris-type,angelica_palustris_type,Angelica palustris,FALSE
Angelica sylvestris,angelica_sylvestris,Peucedanum-type,FALSE
Angiospermae undiff. (herbs),angiospermae_undiff_herbs,Angiospermae undiff. (herbs),FALSE
Antennaria-type,antennaria_type,Antennaria-type,FALSE
Anthemideae,anthemideae,Matricaria-type,FALSE
Anthemis,anthemis,Matricaria-type,FALSE
Anthemis-type,anthemis_type,Matricaria-type,FALSE
Anthemis-type (small),anthemis_type_small,Matricaria-type,FALSE
Anthemis arvensis-type,anthemis_arvensis_type,Matricaria-type,FALSE
Anthericum,anthericum,Anthericum,FALSE
Anthericum-type,anthericum_type,Anthericum,FALSE
Anthoxanthum,anthoxanthum,Poaceae,FALSE
Anthriscus,anthriscus,Apiaceae,FALSE
Anthriscus-type,anthriscus_type,Apiaceae,FALSE
Anthriscus sylvestris,anthriscus_sylvestris,Anthriscus sylvestris-type,FALSE
Anthriscus sylvestris-type,anthriscus_sylvestris_type,Anthriscus sylvestris-type,FALSE
Anthyllis,anthyllis,Anthyllis,FALSE
Anthyllis vulneraria,anthyllis_vulneraria,Anthyllis,FALSE
Aphanes,aphanes,Aphanes,FALSE
Aphanes-type,aphanes_type,Alchemilla/Aphanes,FALSE
Aphanes arvensis-type,aphanes_arvensis_type,Aphanes,FALSE
Apiaceae,apiaceae,Apiaceae,FALSE
Apiaceae undiff,apiaceae_undiff,Apiaceae,FALSE
Apium,apium,Apium,FALSE
Apium-type,apium_type,Apiaceae,FALSE
Apium inundatum-type,apium_inundatum_type,Apium,FALSE
Apium nodiflorum,apium_nodiflorum,Apium nodiflorum,FALSE
Aquilegia,aquilegia,Aquilegia,FALSE
Aquilegia-type,aquilegia_type,Aquilegia,FALSE
Araliaceae undiff.,araliaceae_undiff,Araliaceae,FALSE
Arbutus,arbutus,Arbutus,FALSE
Arbutus unedo,arbutus_unedo,Arbutus,FALSE
Arceuthobium oxycedri,arceuthobium_oxycedri,Arceuthobium oxycedri,FALSE
Arctium,arctium,Arctium,FALSE
Arctium-type,arctium_type,Saussurea-type,FALSE
Arctium/Jurinea,arctium_jurinea,Saussurea-type,FALSE
Arctostaphylos,arctostaphylos,Arctostaphylos,FALSE
Arctostaphylos uva-ursi,arctostaphylos_uva_minus_ursi,Arctostaphylos uva-ursi,FALSE
