raw_name,taxon_name,level_1,indicator
Abies,abies,Abies,FALSE
Abies balsamea,abies_balsamea,Abies,FALSE
Abies lasiocarpa,abies_lasiocarpa,Abies,FALSE
Abies sp.,abies_sp,Abies,FALSE
Abronia,abronia,Abronia,FALSE
Acacia,acacia,Acacia,FALSE
Acacia-type,acacia_type,Acacia,FALSE
Acalypha,acalypha,Acalypha,FALSE
Acalypha-type,acalypha_type,Acalypha,FALSE
Acer,acer,Acer,FALSE
Acer-type,acer_type,Acer,FALSE
Acer cf. A. glabrum,acer_cf_a_glabrum,Acer,FALSE
Acer cf. A. negundo,acer_cf_a_negundo,Acer,FALSE
Acer cf. A. pensylvanicum,acer_cf_a_pensylvanicum,Acer,FALSE
Acer circinatum,acer_circinatum,Acer,FALSE
Acer circinatum-type,acer_circinatum_type,Acer,FALSE
Acer glabrum,acer_glabrum,Acer,FALSE
Acer macrophyllum,acer_macrophyllum,Acer,FALSE
Acer macrophyllum-type,acer_macrophyllum_type,Acer,FALSE
Acer negundo,acer_negundo,Acer,FALSE
Acer negundo-type,acer_negundo_type,Acer,FALSE
Acer nigrum,acer_nigrum,Acer,FALSE
Acer pensylvanicum,acer_pensylvanicum,Acer,FALSE
Acer rubrum,acer_rubrum,Acer,FALSE
Acer rubrum-type,acer_rubrum_type,Acer,FALSE
Acer saccharinum,acer_saccharinum,Acer,FALSE
Acer saccharinum-type,acer_saccharinum_type,Acer,FALSE
Acer saccharum,acer_saccharum,Acer,FALSE
Acer saccharum-type,acer_saccharum_type,Acer,FALSE
Acer saccharum/A. nigrum,acer_saccharum_a_nigrum,Acer,FALSE
Acer sp.,acer_sp,Acer,FALSE
Acer spicatum,acer_spicatum,Acer,FALSE
Acer spicatum-type,acer_spicatum_type,Acer,FALSE
Acer undiff.,acer_undiff,Acer,FALSE
Achillea,achillea,Asteraceae:Asteroideae,FALSE
Achillea-type,achillea_type,Asteraceae:Asteroideae,FALSE
Aconitum,aconitum,Ranunculaceae undiff.,FALSE
Actaea,actaea,Ranunculaceae undiff.,FALSE
Actaea-type,actaea_type,Ranunculaceae undiff.,FALSE
Actaea rubra,actaea_rubra,Ranunculaceae undiff.,FALSE
Adenostoma fasciculatum,adenostoma_fasciculatum,Asteraceae:Asteroideae,FALSE
Adenostoma sparsifolium,adenostoma_sparsifolium,Asteraceae:Asteroideae,FALSE
Aesculus,aesculus,Aesculus,FALSE
Agastache,agastache,Lamiaceae,FALSE
Agastache-type,agastache_type,Lamiaceae,FALSE
Agave,agave,Agave,FALSE
Agoseris-type,agoseris_type,Asteraceae:Asteroideae,FALSE
Agoseris glauca-type,agoseris_glauca_type,Asteraceae:Asteroideae,FALSE
Agrostis,agrostis,Agrostis,FALSE
Agrimonia,agrimonia,Rosaceae,FALSE
Allenrolfea occidentalis,allenrolfea_occidentalis,Allenrolfea occidentalis,FALSE
Allionia,allionia,Allionia,FALSE
Allium,allium,Liliaceae-type,FALSE
Allium-type,allium_type,Liliaceae-type,FALSE
Alnus,alnus,Alnus,FALSE
Alnus (hexaporate),alnus_hexaporate,Alnus,FALSE
Alnus (pentaporate),alnus_pentaporate,Alnus,FALSE
Alnus (tetraporate),alnus_tetraporate,Alnus,FALSE
Alnus (triporate),alnus_triporate,Alnus,FALSE
Alnus cf. A. incana,alnus_cf_a_incana,Alnus,FALSE
Alnus cf. A. viridis,alnus_cf_a_viridis,Alnus,FALSE
Alnus incana,alnus_incana,Alnus,FALSE
Alnus incana-type,alnus_incana_type,Alnus,FALSE
Alnus rhombifolia-type,alnus_rhombifolia_type,Alnus,FALSE
Alnus rubra,alnus_rubra,Alnus,FALSE
Alnus rubra-type,alnus_rubra_type,Alnus,FALSE
Alnus undiff.,alnus_undiff,Alnus,FALSE
Alnus viridis,alnus_viridis,Alnus,FALSE
Alnus viridis-type,alnus_viridis_type,Alnus,FALSE
Alnus viridis subsp. crispa,alnus_viridis_subsp_crispa,Alnus,FALSE
Alnus viridis subsp. crispa-type,alnus_viridis_subsp_crispa_type,Alnus,FALSE
Alnus viridis subsp. sinuata,alnus_viridis_subsp_sinuata,Alnus,FALSE
Alnus viridis subsp. sinuata-type,alnus_viridis_subsp_sinuata_type,Alnus,FALSE
Alternanthera,alternanthera,Alternanthera,FALSE
Amaranthaceae,amaranthaceae,Amaranthaceae,FALSE
Amaranthaceae undiff.,amaranthaceae_undiff,Amaranthaceae,FALSE
Amaranthus,amaranthus,Amaranthaceae,FALSE
Ambrosia,ambrosia,Ambrosia-type,TRUE
Ambrosia-type,ambrosia_type,Ambrosia-type,TRUE
Ambrosia/Iva,ambrosia_iva,Iva-type,FALSE
Ambrosia/Iva annua,ambrosia_iva_annua,Iva-type,FALSE
Amelanchier,amelanchier,Rosaceae,FALSE
Amelanchier-type,amelanchier_type,Rosaceae,FALSE
Amorpha,amorpha,Fabaceae,FALSE
Amorpha-type,amorpha_type,Fabaceae,FALSE
Anacardiaceae,anacardiaceae,Anacardiaceae,FALSE
Anacardiaceae-type undiff.,anacardiaceae_type_undiff,Anacardiaceae,FALSE
Anacardiaceae undiff.,anacardiaceae_undiff,Anacardiaceae,FALSE
