df,logLik,AIC,BIC,deviance,df.residual,nobs,adj.r.squared,npar,deviance_explained,model,region,response_variable
1.00,-20004.62,40013.24,40028.07,18797.22,12249.00,12250,0.00,1.00,0.00,Null model,Europe,ses_mpd
148.71,-15509.18,31318.42,32430.62,9022.85,12101.29,12250,0.51,161.00,0.52,longitude as predictor,Europe,ses_mpd
161.94,-12962.78,26256.48,27483.12,5953.74,12088.06,12250,0.68,175.00,0.68,longitude+time as predictor,Europe,ses_mpd
349.33,-11663.39,24043.71,26701.09,4815.68,11900.67,12250,0.74,1049.00,0.74,longitude+time+longitude:time as predictor,Europe,ses_mpd
222.16,-12492.15,25451.12,27181.44,5513.42,12027.84,12250,0.70,269.00,0.71,longitude+factor(priod)+longitude by  priod as predictor,Europe,ses_mpd
1.00,-17945.36,35894.71,35909.54,13430.16,12249.00,12250,0.00,1.00,0.00,Null model,Europe,ses_mntd
148.79,-13757.97,27819.26,28943.58,6779.12,12101.21,12250,0.49,161.00,0.50,longitude as predictor,Europe,ses_mntd
160.97,-12127.64,24584.18,25803.34,5194.87,12089.03,12250,0.61,175.00,0.61,longitude+time as predictor,Europe,ses_mntd
319.88,-11134.07,22933.44,25399.46,4416.98,11930.12,12250,0.66,1049.00,0.67,longitude+time+longitude:time as predictor,Europe,ses_mntd
222.09,-11809.83,24083.57,25803.12,4932.20,12027.91,12250,0.63,269.00,0.63,longitude+factor(priod)+longitude by  priod as predictor,Europe,ses_mntd
1.00,-25862.27,51728.55,51743.76,28085.74,14897.00,14898,0.00,1.00,0.00,Null model,North_America,ses_mpd
308.53,-13482.32,27583.83,29939.49,5329.73,14589.47,14898,0.81,324.00,0.81,longitude as predictor,North_America,ses_mpd
319.62,-13221.15,27084.54,29527.94,5146.10,14578.38,14898,0.81,338.00,0.82,longitude+time as predictor,North_America,ses_mpd
473.11,-11989.52,24931.99,28557.48,4361.86,14424.89,14898,0.84,1214.00,0.84,longitude+time+longitude:time as predictor,North_America,ses_mpd
370.28,-12685.98,26133.30,29029.78,4789.35,14527.72,14898,0.83,432.00,0.83,longitude+factor(priod)+longitude by  priod as predictor,North_America,ses_mpd
1.00,-24214.81,48433.62,48448.84,22513.08,14897.00,14898,0.00,1.00,0.00,Null model,North_America,ses_mntd
307.23,-13323.12,27262.83,29608.64,5217.03,14590.77,14898,0.76,324.00,0.77,longitude as predictor,North_America,ses_mntd
317.60,-13149.29,26936.98,29365.75,5096.70,14580.40,14898,0.77,338.00,0.77,longitude+time as predictor,North_America,ses_mntd
453.69,-12252.99,25420.74,28900.93,4518.90,14444.31,14898,0.79,1214.00,0.80,longitude+time+longitude:time as predictor,North_America,ses_mntd
360.76,-12817.15,26369.92,29168.62,4874.43,14537.24,14898,0.78,432.00,0.78,longitude+factor(priod)+longitude by  priod as predictor,North_America,ses_mntd
